iter	Passed	Remaining
0	171	170890
1	185	92344
2	199	66317
3	214	53289
4	229	45592
5	243	40345
6	257	36496
7	271	33669
8	285	31475
9	298	29577
10	312	28059
11	325	26797
12	338	25686
13	351	24730
14	365	24011
15	379	23311
16	388	22484
17	401	21922
18	414	21402
19	423	20759
20	436	20351
21	449	19998
22	462	19658
23	476	19384
24	489	19098
25	503	18860
26	516	18621
27	529	18386
28	542	18178
29	556	17992
30	569	17809
31	582	17609
32	594	17424
33	607	17270
34	621	17126
35	635	17009
36	647	16861
37	660	16725
38	673	16605
39	686	16478
40	699	16355
41	712	16247
42	724	16130
43	737	16017
44	750	15932
45	764	15850
46	777	15763
47	790	15682
48	803	15593
49	816	15504
50	829	15433
51	842	15350
52	855	15277
53	867	15200
54	880	15133
55	892	15052
56	906	14992
57	918	14923
58	931	14858
59	944	14798
60	957	14738
61	970	14685
62	983	14633
63	996	14579
64	1009	14524
65	1023	14480
66	1036	14428
67	1049	14390
68	1064	14368
69	1078	14322
70	1090	14267
71	1102	14213
72	1116	14174
73	1129	14129
74	1142	14086
75	1154	14040
76	1167	13992
77	1179	13943
78	1192	13900
79	1204	13855
80	1217	13816
81	1230	13777
82	1244	13745
83	1256	13698
84	1268	13659
85	1280	13612
86	1292	13567
87	1304	13523
88	1317	13486
89	1330	13456
90	1344	13433
91	1358	13409
92	1372	13382
93	1385	13354
94	1398	13327
95	1412	13300
96	1425	13271
97	1438	13237
98	1451	13207
99	1465	13186
100	1477	13150
101	1503	13233
102	1526	13294
103	1550	13354
104	1573	13414
105	1599	13493
106	1623	13551
107	1649	13623
108	1673	13681
109	1701	13767
110	1724	13809
111	1748	13862
112	1771	13908
113	1797	13967
114	1821	14015
115	1845	14067
116	1870	14113
117	1895	14167
118	1918	14201
119	1937	14204
120	1963	14263
121	1978	14240
122	2003	14285
123	2027	14320
124	2051	14357
125	2076	14404
126	2100	14436
127	2128	14499
128	2153	14537
129	2177	14572
130	2203	14619
131	2227	14649
132	2253	14688
133	2277	14721
